file,class,method,variable,usage
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,getPostcodeViews/1[app.Context],ANALYTICS_SERVICE_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,getPostcodeViews/1[app.Context],httpClient,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,createSale/1[app.Context],httpClient,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,createSale/1[app.Context],PROPERTY_SERVICE_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,findSalesByPriceRange/1[app.Context],httpClient,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,findSalesByPriceRange/1[app.Context],PROPERTY_SERVICE_URL,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,ApiGateway/0,httpClient,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/app/ApiGateway.java,app.ApiGateway,ApiGateway/0,objectMapper,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesController.java,sales.SalesController,getAllSales/1[sales.Context],homeSales,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesController.java,sales.SalesController,"findSaleByPostCode/2[sales.Context,java.lang.String]",homeSales,2
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesController.java,sales.SalesController,"findSalesBypurchasePrice/3[sales.Context,java.lang.String,java.lang.String]",homeSales,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesController.java,sales.SalesController,"getPostcodeViews/2[sales.Context,java.lang.String]",homeSales,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesController.java,sales.SalesController,createSale/1[sales.Context],homeSales,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesController.java,sales.SalesController,"findSaleByarea_type/2[sales.Context,java.lang.String]",homeSales,1
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesController.java,sales.SalesController,SalesController/1[sales.SalesDAO],homeSales,3
/Users/jubal/CS5500_6500 SYD/REServer/src/main/java/sales/SalesController.java,sales.SalesController,"getSaleByID/2[sales.Context,java.lang.String]",homeSales,2
